#,PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,No. of all inlinks,Is in sitemap,Referenced in sitemaps,No. of referencing sitemaps
1,40,https://gamedravo.com/category/sports,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
2,40,https://gamedravo.com/category/adventure,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
3,40,https://gamedravo.com/category/strategy,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
4,40,https://gamedravo.com/cookies,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
5,40,https://gamedravo.com/category/simulator,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
6,40,https://gamedravo.com/privacy,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
7,40,https://gamedravo.com/category/mobile-games,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
8,40,https://gamedravo.com/category/action,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
9,40,https://gamedravo.com/,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,881,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
10,40,https://gamedravo.com/category/puzzle,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,TRUE,880,TRUE,"http://gamedravo.com/sitemap.xml
https://gamedravo.com/sitemap.xml",2
