#,PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is valid X (Twitter) card,X (Twitter) card attributes,X (Twitter) card values,Depth,Is indexable page,No. of all inlinks
1,40,https://gamedravo.com/category/sports,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
2,40,https://gamedravo.com/category/adventure,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
3,40,https://gamedravo.com/category/girls,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,1,TRUE,880
4,40,https://gamedravo.com/category/strategy,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
5,40,https://gamedravo.com/cookies,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
6,40,https://gamedravo.com/category/simulator,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
7,40,https://gamedravo.com/privacy,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
8,40,https://gamedravo.com/category/mobile-games,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
9,40,https://gamedravo.com/category/action,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
10,40,https://gamedravo.com/,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,881
11,40,https://gamedravo.com/category/puzzle,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
12,40,https://gamedravo.com/about,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
13,40,https://gamedravo.com/category/racing,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
14,40,https://gamedravo.com/category/multiplayer,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
15,40,https://gamedravo.com/category/casual,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
16,40,https://gamedravo.com/category/arcade,GameDravo | Lightweight Futuristic Browser Games,text/html,FALSE,200,0,,,,0,TRUE,880
